Location,DF_Market,TMO,Flavor,Taste,Thickness,Length,PMI SKU,Cluster SKU
Paris Charles De Gaulle,France,PMI,Regular,Full Flavor,STD,KS,1,7
Florianopolis,Brazil,PMI,Menthol Caps,Full Flavor,STD,KS,1,2
Santiago Arturo Merino Benitez,Chile,PMI,NTD Caps,Full Flavor,STD,KS,1,0
Paderborn,Germany,PMI,Regular,Full Flavor,SLI,KS,1,5
Istanbul Airport,Turkey,PMI,Regular,Full Flavor,STD,KS,1,15
Eindhoven,Netherlands,PMI,Regular,Full Flavor,SLI,KS,1,2
Guiyang Longdongbao,China,PMI,NTD Caps,Full Flavor,STD,KS,1,6
Wroclaw,Poland,PMI,Regular,Full Flavor,STD,KS,1,6
RIYADH,Saudi Arabia,PMI,Regular,Full Flavor,SLI,KS,1,2
Taiyuan Wusu,China,PMI,Regular,Full Flavor,STD,KS,1,7
Oranjestad,Aruba,PMI,Menthol,Full Flavor,STD,KS,1,0
Bilbao,Spain DP,PMI,Regular,Full Flavor,SLI,KS,1,2
Ostrava,Czech Republic,PMI,Regular,Full Flavor,STD,KS,1,2
Gaborone,Botswana,PMI,Menthol Caps,Full Flavor,STD,KS,1,0
Ostrava,Czech Republic,PMI,Regular,Full Flavor,SLI,KS,1,2
Recife,Brazil,PMI,Regular,Full Flavor,STD,KS,1,5
Samsun Airport,Turkey,PMI,Regular,Full Flavor,SLI,KS,1,8
Queretaro,Mexico,PMI,Regular,Full Flavor,STD,KS,1,5
Nuernberg,Germany,PMI,Regular,Full Flavor,SLI,KS,1,5
Bergamo,Italy,PMI,Regular,Full Flavor,SLI,KS,1,3
Nice,France,PMI,Regular,Full Flavor,SLI,KS,1,2
Graz,Austria,PMI,Regular,Full Flavor,SLI,KS,1,1
Medina,Saudi Arabia,PMI,Regular,Full Flavor,STD,KS,1,2
Leopold Sedar Senghar,Senegal,PMI,Regular,Full Flavor,STD,KS,1,0
Los Cabos,Mexico,PMI,Regular,Full Flavor,SLI,KS,1,2
Porto,Portugal,PMI,Regular,Full Flavor,STD,KS,1,1
Sandefjord-Torp,Norway,PMI,Menthol Caps,Full Flavor,STD,KS,1,1
Cozumel,Mexico,PMI,Regular,Full Flavor,STD,KS,1,6
Danang,Vietnam,PMI,Regular,Full Flavor,STD,KS,1,1
Curacao,Curazao,PMI,Menthol,Full Flavor,STD,KS,1,0
Paramaribo,Suriname,PMI,Regular,Full Flavor,SLI,KS,1,0
Sochi,Russia,PMI,Menthol Caps,Full Flavor,STD,KS,1,1
Oujda,Morocco,PMI,Regular,Full Flavor,SLI,KS,1,1
Indira Gandhi,India,PMI,NTD Caps,Full Flavor,STD,KS,1,3
San Jose,Costa Rica,PMI,Regular,Full Flavor,SLI,KS,1,1
Sao Paulo - Guarulhos,Brazil,PMI,Menthol Caps,Full Flavor,STD,KS,1,2
Aswan,Egypt,PMI,NTD Caps,Full Flavor,STD,KS,1,1
London Luton,Great Britain,PMI,Regular,Full Flavor,STD,KS,1,4
Paramaribo,Suriname,PMI,Menthol,Full Flavor,STD,KS,1,0
Beauvais,France,PMI,Regular,Full Flavor,STD,KS,1,7
Batumi,Georgia,PMI,Regular,Full Flavor,SLI,KS,1,1
Mandalay,Myanmar,PMI,Menthol,Full Flavor,STD,KS,1,1
Okayama,Japan,PMI,NTD Caps,Full Flavor,STD,KS,1,6
Bogota,Colombia,PMI,Menthol Caps,Full Flavor,STD,KS,1,1
Takamatsu,Japan,PMI,Regular,Full Flavor,STD,KS,1,8
Dalian Zhoushuizi,China,PMI,Menthol Caps,Full Flavor,STD,KS,1,4
Nice,France DP,PMI,Regular,Lights,STD,KS,1,2
Durban,South Africa,PMI,Regular,Full Flavor,SLI,KS,1,1
Essaouira,Morocco,PMI,NTD Caps,Full Flavor,STD,KS,1,5
Trabzon Airport,Turkey,PMI,Regular,Full Flavor,STD,KS,1,15
Danang,Vietnam,PMI,Menthol,Full Flavor,STD,KS,1,1
Addis Ababa,Ethiopia,PMI,Menthol,Full Flavor,STD,KS,1,0
Beirut - Rafik Hariri,Lebanon,PMI,NTD Caps,Full Flavor,STD,KS,1,0
Jeju,South Korea,PMI,Regular,Lights,SLI,KS,1,1
Stavanger,Norway,PMI,Regular,Full Flavor,STD,KS,1,4
Brisbane,Australia,PMI,Regular,Full Flavor,STD,KS,1,3
Ixtapa Zihuatanejo,Mexico,PMI,NTD Caps,Full Flavor,STD,KS,1,3
Yangon,Myanmar,PMI,Menthol,Full Flavor,STD,KS,1,1
Cheongju,South Korea,PMI,NTD Caps,Full Flavor,STD,KS,1,5
Kuala Lumpur,Malaysia,PMI,Menthol Caps,Full Flavor,STD,KS,1,1
Marsa Aalam,Egypt,PMI,NTD Caps,Full Flavor,STD,KS,1,1
Graz,Austria,PMI,Regular,Full Flavor,STD,KS,1,1
Xuzhou Guanyin,China,PMI,NTD Caps,Full Flavor,STD,KS,1,6
Zanzibar,Tanzania,PMI,Regular,Full Flavor,SLI,KS,1,0
Yerevan,Armenia,PMI,Regular,Full Flavor,STD,KS,1,0
Krakow Balice,Poland,PMI,Regular,Full Flavor,SLI,KS,1,2
Aswan,Egypt,PMI,Regular,Full Flavor,SLI,KS,1,1
Sydney,Australia,PMI,Menthol Caps,Full Flavor,STD,KS,1,2
Diyarbakir Airport,Turkey,PMI,Regular,Full Flavor,SLI,KS,1,8
Alicante,Spain,PMI,Regular,Full Flavor,SLI,KS,1,2
Guatemala City,Guatemala,PMI,Regular,Full Flavor,SLI,KS,1,0
Jersey,Great Britain,PMI,Regular,Full Flavor,SLI,KS,1,2
Gerona,Spain,PMI,Regular,Full Flavor,SLI,KS,1,2
Prague,Czech Republic,PMI,Regular,Full Flavor,STD,KS,1,2
Chambery,France,PMI,Regular,Full Flavor,STD,KS,1,6
Cologne,Germany,PMI,Regular,Full Flavor,SLI,KS,1,5
Hangzhou Xiaoshan,China,PMI,NTD Caps,Full Flavor,STD,KS,1,5
Milan - Malpensa,Italy,PMI,Regular,Full Flavor,SLI,KS,1,3
Harbin Taiping,China,PMI,Regular,Full Flavor,STD,KS,1,7
Chubu,Japan,PMI,Regular,Full Flavor,STD,KS,1,9
Indira Gandhi,India,PMI,Regular,Full Flavor,STD,KS,1,4
Santiago Cibao,Dominican Republic,PMI,Menthol Caps,Full Flavor,STD,KS,1,3
Xiamen Gaoqi,China,PMI,NTD Caps,Full Flavor,STD,KS,1,6
Jeddah,Saudi Arabia,PMI,Menthol Caps,Full Flavor,STD,KS,1,1
Vigo,Spain DP,PMI,Regular,Full Flavor,SLI,KS,1,2
Dublin,Ireland,PMI,Regular,Full Flavor,STD,KS,1,1
Bodrum Airport,Turkey,PMI,Menthol Caps,Full Flavor,STD,KS,1,5
Wenzhou Longwan,China,PMI,Menthol,Full Flavor,STD,KS,1,3
Manama,Bahrain,PMI,Regular,Full Flavor,STD,KS,1,0
Bridgetown,Barbados,PMI,Regular,Full Flavor,STD,KS,1,0
Cam Ranh,Vietnam,PMI,NTD Caps,Full Flavor,STD,KS,1,2
Yinchuan Hedong,China,PMI,NTD Caps,Full Flavor,STD,KS,1,6
Bangui,Central Africa,PMI,Regular,Full Flavor,SLI,KS,1,0
London Stansted,Great Britain,PMI,Regular,Full Flavor,SLI,KS,1,3
Lodz,Poland,PMI,Regular,Full Flavor,STD,KS,1,6
Basel,Switzerland,PMI,Regular,Full Flavor,STD,KS,1,2
St. George's Point Saline,Grenada,PMI,NTD Caps,Full Flavor,STD,KS,1,0
Aktio,Greece,PMI,Regular,Full Flavor,STD,KS,1,9
Johannesburg,South Africa,PMI,Menthol Caps,Full Flavor,STD,KS,1,1
La Palma,Canary Islands,PMI,Regular,Full Flavor,STD,KS,1,1
Asuncion Silvio Petterossi,Paraguay,PMI,Regular,Full Flavor,STD,KS,1,0
Muan,South Korea,PMI,Regular,Full Flavor,SLI,KS,1,2
Komatsu,Japan,PMI,Regular,Full Flavor,STD,KS,1,9
Vilnius,Lithuania,PMI,Regular,Full Flavor,SLI,KS,1,1
Cairo,Egypt,PMI,Menthol Caps,Full Flavor,STD,KS,1,1
Bordeaux,France DP,PMI,Regular,Full Flavor,SLI,KS,1,2
Tozeur,Tunisia,PMI,NTD Caps,Full Flavor,STD,KS,1,2
Ankara Airport,Turkey,PMI,NTD Caps,Full Flavor,STD,KS,1,11
Kralendijk (Bonaire),Caribbean Other,PMI,Regular,Full Flavor,SLI,KS,1,1
Shenyang Taoxian,China,PMI,Regular,Full Flavor,STD,KS,1,7
Paris Orly,France,PMI,Regular,Lights,STD,KS,1,2
Toulouse,France,PMI,Regular,Lights,STD,KS,1,2
Aqaba,Jordan,PMI,NTD Caps,Full Flavor,STD,KS,1,1
Chattrapati Shivaji,India,PMI,Regular,Full Flavor,SLI,KS,1,2
Cairo,Egypt,PMI,Regular,Full Flavor,STD,KS,1,3
Katowice,Poland,PMI,Regular,Full Flavor,STD,KS,1,6
Chitose,Japan,PMI,Regular,Full Flavor,STD,KS,1,8
Roland Garros,Reunion,PMI,Regular,Full Flavor,STD,KS,1,0
Krasnoyarsk,Russia,PMI,NTD Caps,Full Flavor,STD,KS,1,2
Valencia,Spain DP,PMI,Regular,Full Flavor,STD,KS,1,7
Recife,Brazil,PMI,Regular,Full Flavor,SLI,KS,1,2
Fortaleza,Brazil,PMI,Regular,Full Flavor,SLI,KS,1,2
Oslo,Norway,PMI,Regular,Full Flavor,STD,KS,1,4
Guernsey,Great Britain,PMI,Regular,Full Flavor,SLI,KS,1,3
Fes,Morocco,PMI,Regular,Full Flavor,STD,KS,1,4
Muan,South Korea,PMI,NTD Caps,Full Flavor,STD,KS,1,4
Mazatlan,Mexico,PMI,Menthol Caps,Full Flavor,STD,KS,1,3
Perth,Australia,PMI,Menthol,Full Flavor,STD,KS,1,1
Belize City,Belize,PMI,Menthol Caps,Full Flavor,STD,KS,1,0
Reus,Spain DP,PMI,Regular,Full Flavor,SLI,KS,1,2
Marsa Aalam,Egypt,PMI,Regular,Full Flavor,SLI,KS,1,1
Suleymania Airport,Iraq,PMI,Regular,Full Flavor,STD,KS,1,3
Sandefjord-Torp,Norway,PMI,NTD Caps,Full Flavor,STD,KS,1,1
Lima,Peru,PMI,Regular,Full Flavor,STD,KS,1,0
Ibiza,Spain,PMI,Regular,Full Flavor,STD,KS,1,7
Skopje,Macedonia,PMI,Regular,Full Flavor,STD,KS,1,1
Verona,Italy,PMI,Regular,Full Flavor,SLI,KS,1,3
Incheon,South Korea,PMI,Menthol Caps,Full Flavor,STD,KS,1,2
Amman,Jordan,PMI,Regular,Full Flavor,SLI,KS,1,2
Brasilia,Brazil,PMI,NTD Caps,Full Flavor,STD,KS,1,3
Soekarno Hatta,Indonesia,PMI,Menthol Caps,Full Flavor,STD,KS,1,1
Barcelona,Spain DP,PMI,Regular,Full Flavor,SLI,KS,1,2
Sharjah,United Arab Emirates,PMI,Menthol Caps,Full Flavor,STD,KS,1,1
Taichung,Taiwan,PMI,Menthol Caps,Full Flavor,STD,KS,1,1
Wuxi Shuofang,China,PMI,Menthol Caps,Full Flavor,STD,KS,1,3
Manila - Ninoy Aquino,Philippines,PMI,Regular,Full Flavor,STD,KS,1,1
Gran Canaria,Canary Islands,PMI,Regular,Full Flavor,STD,KS,1,1
Nantes,France DP,PMI,Regular,Full Flavor,STD,KS,1,9
Togo,Togo,PMI,Menthol,Full Flavor,STD,KS,1,0
Puerto Plata,Dominican Republic,PMI,Regular,Full Flavor,SLI,KS,1,2
Quito,Ecuador,PMI,Menthol,Full Flavor,STD,KS,1,0
San Jose,Costa Rica,PMI,Regular,Full Flavor,STD,KS,1,1
Tbilisi,Georgia,PMI,Regular,Full Flavor,STD,KS,1,1
Daegu,South Korea,PMI,Regular,Lights,SLI,KS,1,1
Copenhagen,Denmark,PMI,Regular,Full Flavor,STD,KS,1,3
Port Louis,Mauritius,PMI,Regular,Full Flavor,SLI,KS,1,0
Porto Alegre,Brazil,PMI,Regular,Full Flavor,SLI,KS,1,2
Denizli Cardak Airport,Turkey,PMI,Regular,Full Flavor,STD,KS,1,14
Valencia,Spain,PMI,Regular,Full Flavor,STD,KS,1,7
Bergen,Norway,PMI,Regular,Full Flavor,SLI,KS,1,1
Murcia,Spain DP,PMI,Regular,Full Flavor,STD,KS,1,7
Belize City,Belize,PMI,Regular,Full Flavor,SLI,KS,1,0
Kaohsiung,Taiwan,PMI,NTD Caps,Full Flavor,STD,KS,1,1
Nanning Wuxu,China,PMI,Menthol,Full Flavor,STD,KS,1,3
Radom,Poland,PMI,Regular,Full Flavor,STD,KS,1,5
Chitose,Japan,PMI,NTD Caps,Full Flavor,STD,KS,1,6
Ibaraki,Japan,PMI,Regular,Full Flavor,STD,KS,1,8
Beijing,China,PMI,Menthol Caps,Full Flavor,STD,KS,1,4
Tokyo - Haneda,Japan,PMI,NTD Caps,Full Flavor,STD,KS,1,6
Cape Town,South Africa,PMI,Regular,Full Flavor,STD,KS,1,2
Santo Domingo Las Americas,Dominican Republic,PMI,NTD Caps,Full Flavor,STD,KS,1,3
Aberdeen,Great Britain,PMI,Regular,Full Flavor,STD,KS,1,5
Nouakchott,Mauritania,PMI,Regular,Full Flavor,STD,KS,1,0
Cardiff,Great Britain,PMI,Regular,Full Flavor,STD,KS,1,5
Espargos,Cape Verde,PMI,Regular,Full Flavor,SLI,KS,1,1
Hangzhou Xiaoshan,China,PMI,Menthol Caps,Full Flavor,STD,KS,1,4
Kigali,Rwanda,PMI,Regular,Full Flavor,STD,KS,1,0
Urumchi Diwobao,China,PMI,Regular,Full Flavor,STD,KS,1,7
San Salvador Comalapa,El Salvador,PMI,Menthol,Full Flavor,STD,KS,1,0
Jinan Xiaoqiang,China,PMI,Menthol Caps,Full Flavor,STD,KS,1,4
Sharm El Sheikh,Egypt,PMI,Regular,Full Flavor,SLI,KS,1,1
Togo,Togo,PMI,Regular,Full Flavor,STD,KS,1,0
Fuzhou Changle,China,PMI,Menthol Caps,Full Flavor,STD,KS,1,4
Munich,Germany,PMI,Regular,Full Flavor,STD,KS,1,6
Tirana,Albania,PMI,Regular,Full Flavor,STD,KS,1,0
Santiago Cibao,Dominican Republic,PMI,Regular,Full Flavor,STD,KS,1,4
Tuzla,Bosnia-Herzegovinia,PMI,Regular,Full Flavor,STD,KS,1,2
Bourgas,Bulgaria,PMI,Regular,Full Flavor,STD,KS,1,2
Chania,Greece,PMI,Regular,Full Flavor,SLI,KS,1,8
Palermo,Italy,PMI,Regular,Full Flavor,SLI,KS,1,2
Shanghai Pudong,China,PMI,Regular,Full Flavor,STD,KS,1,7
Gdansk,Poland,PMI,Regular,Full Flavor,SLI,KS,1,2
St. Maarten Princess Juliana,Saint Marteen (NL),PMI,Menthol Caps,Full Flavor,STD,KS,1,0
Agadir,Morocco,PMI,NTD Caps,Full Flavor,STD,KS,1,6
Abu Dhabi,United Arab Emirates,PMI,Regular,Full Flavor,SLI,KS,1,2
Tokyo - Narita,Japan,PMI,Regular,Full Flavor,STD,KS,1,9
London City,Great Britain,PMI,Regular,Full Flavor,STD,KS,1,5
Cancun,Mexico,PMI,Menthol,Full Flavor,STD,KS,1,1
Tel-Aviv,Israel,PMI,Regular,Lights,STD,KS,1,0
Managua,Nicaragua,PMI,Regular,Full Flavor,STD,KS,1,0
Lille,France DP,PMI,Regular,Full Flavor,STD,KS,1,8
Cardiff,Great Britain,PMI,Regular,Full Flavor,SLI,KS,1,3
Stavanger,Norway,PMI,Menthol Caps,Full Flavor,STD,KS,1,1
Zhengzhou Xinzheng,China,PMI,Menthol Caps,Full Flavor,STD,KS,1,4
Trondheim,Norway,PMI,Regular,Full Flavor,SLI,KS,1,1
Ulaanbaatar,Mongolia,PMI,Regular,Full Flavor,STD,KS,1,0
Sevilla,Spain DP,PMI,Regular,Full Flavor,SLI,KS,1,2
Toulouse,France,PMI,Regular,Full Flavor,STD,KS,1,7
Kagoshima,Japan,PMI,Menthol,Full Flavor,STD,KS,1,4
Jomo Kenyatta,Kenya,PMI,NTD Caps,Full Flavor,STD,KS,1,0
Min Vody,Russia,PMI,NTD Caps,Full Flavor,STD,KS,1,2
Fort-de-France,Martinique,PMI,Regular,Lights,STD,KS,1,0
Muan,South Korea,PMI,Menthol,Full Flavor,STD,KS,1,1
Manama,Bahrain,PMI,Regular,Full Flavor,SLI,KS,1,0
Perth,Australia,PMI,Menthol Caps,Full Flavor,STD,KS,1,2
Mexico City,Mexico,PMI,Menthol Caps,Full Flavor,STD,KS,1,3
Konya Airport,Turkey,PMI,NTD Caps,Full Flavor,STD,KS,1,11
Everrich Downtown Kinmen,Taiwan,PMI,Menthol Caps,Full Flavor,SLI,KS,1,1
Reus,Spain,PMI,Regular,Full Flavor,STD,KS,1,7
Birmingham,Great Britain,PMI,Regular,Full Flavor,SLI,KS,1,3
Ras El Khaymah,United Arab Emirates,PMI,Regular,Full Flavor,SLI,KS,1,2
Istanbul Asia Airport,Turkey,PMI,NTD Caps,Full Flavor,STD,KS,1,11
Wenzhou Longwan,China,PMI,NTD Caps,Full Flavor,STD,KS,1,6
Abu Dhabi,United Arab Emirates,PMI,NTD Caps,Full Flavor,STD,KS,1,3
Edinburgh,Great Britain,PMI,Regular,Full Flavor,SLI,KS,1,3
Billund,Denmark,PMI,Regular,Full Flavor,SLI,KS,1,3
Santander,Spain DP,PMI,Regular,Full Flavor,SLI,KS,1,2
Antalya Airport,Turkey,PMI,Regular,Full Flavor,STD,KS,1,14
Oranjestad,Aruba,PMI,NTD Caps,Full Flavor,STD,KS,1,0
Naha,Japan,PMI,Menthol Caps,Full Flavor,STD,KS,1,3
Quito,Ecuador,PMI,Menthol Caps,Full Flavor,STD,KS,1,1
Kagoshima,Japan,PMI,NTD Caps,Full Flavor,STD,KS,1,6
La Romana,Dominican Republic,PMI,Regular,Full Flavor,STD,KS,1,4
Oujda,Morocco,PMI,Menthol,Full Flavor,STD,KS,1,1
Kaohsiung,Taiwan,PMI,Menthol Caps,Full Flavor,SLI,KS,1,1
Santander,Spain,PMI,Regular,Full Flavor,SLI,KS,1,2
Shizuoka,Japan,PMI,Regular,Full Flavor,STD,KS,1,9
Kaohsiung,Taiwan,PMI,Regular,Full Flavor,STD,KS,1,1
Luxor,Egypt,PMI,NTD Caps,Full Flavor,STD,KS,1,1
Cape Town,South Africa,PMI,NTD Caps,Full Flavor,STD,KS,1,1
Basrah,Iraq,PMI,Regular,Full Flavor,STD,KS,1,3
Min Vody,Russia,PMI,Menthol Caps,Full Flavor,STD,KS,1,1
Shizuoka,Japan,PMI,NTD Caps,Full Flavor,STD,KS,1,6
Eskisehir Airport,Turkey,PMI,NTD Caps,Full Flavor,STD,KS,1,11
Baku,Azerbaijan,PMI,Regular,Full Flavor,STD,KS,1,0
Incheon,South Korea,PMI,Regular,Full Flavor,SLI,KS,1,2
Paderborn,Germany,PMI,Regular,Full Flavor,STD,KS,1,5
Istanbul Asia Airport,Turkey,PMI,Regular,Full Flavor,STD,KS,1,15
Kigali,Rwanda,PMI,Regular,Full Flavor,SLI,KS,1,0
Belize City,Belize,PMI,Regular,Full Flavor,STD,KS,1,0
Malaga,Spain,PMI,Regular,Full Flavor,STD,KS,1,7
Kaunas,Lithuania,PMI,Regular,Full Flavor,STD,KS,1,1
Riga,Latvia,PMI,Regular,Full Flavor,STD,KS,1,0
Guadalajara,Mexico,PMI,Menthol,Full Flavor,STD,KS,1,1
Beirut - Rafik Hariri,Lebanon,PMI,Menthol Caps,Full Flavor,STD,KS,1,0
Macau,Macau,PMI,Menthol Caps,Full Flavor,STD,KS,1,0
Manama,Bahrain,PMI,Menthol Caps,Full Flavor,STD,KS,1,0
Cukurova Airport,Turkey,PMI,Menthol Caps,Full Flavor,STD,KS,1,5
Medellin Jose Maria Cordova,Colombia,PMI,NTD Caps,Full Flavor,STD,KS,1,1
Torino,Italy,PMI,Regular,Full Flavor,SLI,KS,1,3
Ibaraki,Japan,PMI,NTD Caps,Full Flavor,STD,KS,1,5
Curacao,Curazao,PMI,Menthol Caps,Full Flavor,STD,KS,1,0
Kunming Wujiaba,China,PMI,Menthol Caps,Full Flavor,STD,KS,1,4
Casablanca,Morocco,PMI,Regular,Full Flavor,SLI,KS,1,1
Espargos,Cape Verde,PMI,Regular,Full Flavor,STD,KS,1,1
Prague,Czech Republic,PMI,Regular,Full Flavor,SLI,KS,1,2
Alicante,Spain,PMI,Regular,Full Flavor,STD,KS,1,7
Hamburg,Germany,PMI,Regular,Full Flavor,STD,KS,1,6
Tokyo - Haneda,Japan,PMI,Menthol Caps,Full Flavor,STD,KS,1,3
Almeria,Spain,PMI,Regular,Full Flavor,STD,KS,1,7
Panama Tocumen,Panama,PMI,NTD Caps,Full Flavor,STD,KS,1,0
Xuzhou Guanyin,China,PMI,Regular,Full Flavor,STD,KS,1,7
Rabil,Cape Verde,PMI,Menthol,Full Flavor,STD,KS,1,1
Pengsheng,China,PMI,Menthol Caps,Full Flavor,STD,KS,1,4
Basseterre (Saint Kitts),Caribbean Other,PMI,Menthol,Full Flavor,STD,KS,1,2
Paramaribo,Suriname,PMI,NTD Caps,Full Flavor,STD,KS,1,0
Guadalajara,Mexico,PMI,NTD Caps,Full Flavor,STD,KS,1,3
Basel,Switzerland,PMI,Regular,Full Flavor,SLI,KS,1,1
Luanda,Angola,PMI,NTD Caps,Full Flavor,STD,KS,1,0
Monastir,Tunisia,PMI,Regular,Full Flavor,STD,KS,1,4
Fort-de-France,Martinique,PMI,Regular,Full Flavor,STD,KS,1,0
Kralendijk (Bonaire),Caribbean Other,PMI,Menthol,Full Flavor,STD,KS,1,1
Danang,Vietnam,PMI,Menthol Caps,Full Flavor,STD,KS,1,1
Medina,Saudi Arabia,PMI,Regular,Full Flavor,SLI,KS,1,2
Asyut,Egypt,PMI,Regular,Full Flavor,SLI,KS,1,1
Elblag,Poland,PMI,Regular,Full Flavor,SLI,KS,1,2
La Romana,Dominican Republic,PMI,Menthol Caps,Full Flavor,STD,KS,1,3
Chongqing Jiangbei,China,PMI,Menthol Caps,Full Flavor,STD,KS,1,4
Cancun,Mexico,PMI,Regular,Full Flavor,STD,KS,1,6
Port-au-Prince (Haiti),Caribbean Other,PMI,Menthol Caps,Full Flavor,STD,KS,1,1
Glasgow Prestwick,Great Britain,PMI,Regular,Full Flavor,STD,KS,1,4
Warsaw-Modlin,Poland,PMI,Regular,Full Flavor,STD,KS,1,6
Brasilia,Brazil,PMI,Menthol,Full Flavor,STD,KS,1,1
Tel-Aviv,Israel,PMI,Regular,Full Flavor,STD,KS,1,0
Chambery,France,PMI,Regular,Full Flavor,SLI,KS,1,2
Pisa,Italy,PMI,Regular,Full Flavor,STD,KS,1,8
Zagreb,Croatia,PMI,Regular,Full Flavor,SLI,KS,1,1
Istanbul Airport,Turkey,PMI,Menthol Caps,Full Flavor,STD,KS,1,5
Accra,Ghana,PMI,Menthol,Full Flavor,STD,KS,1,0
Essaouira,Morocco,PMI,Menthol,Full Flavor,STD,KS,1,1
Gaziantep Airport,Turkey,PMI,NTD Caps,Full Flavor,STD,KS,1,11
Wenzhou Longwan,China,PMI,Menthol Caps,Full Flavor,STD,KS,1,4
Queretaro,Mexico,PMI,Regular,Full Flavor,SLI,KS,1,1
Krasnoyarsk,Russia,PMI,Regular,Full Flavor,STD,KS,1,7
Ixtapa Zihuatanejo,Mexico,PMI,Regular,Full Flavor,STD,KS,1,5
Mudanjiang Hailang,China,PMI,Menthol Caps,Full Flavor,STD,KS,1,4
Muan,South Korea,PMI,Regular,Full Flavor,STD,KS,1,4
Florianopolis,Brazil,PMI,Regular,Full Flavor,SLI,KS,1,2
Bergen,Norway,PMI,NTD Caps,Full Flavor,STD,KS,1,1
Kutahya Airport,Turkey,PMI,Regular,Full Flavor,SLI,KS,1,8
Christchurch,New Zealand,PMI,Regular,Full Flavor,STD,KS,1,2
Lima,Peru,PMI,Regular,Full Flavor,SLI,KS,1,0
Cali,Colombia,PMI,NTD Caps,Full Flavor,STD,KS,1,1
Marseille,France,PMI,Regular,Full Flavor,SLI,KS,1,2
Dubai,United Arab Emirates,PMI,Menthol Caps,Full Flavor,STD,KS,1,1
Rome Fiumicino,Italy,PMI,Regular,Full Flavor,SLI,KS,1,3
Poznan-Lawica,Poland,PMI,Regular,Full Flavor,STD,KS,1,5
Sharjah,United Arab Emirates,PMI,Regular,Lights,STD,KS,1,2
Abidjan,Ivory Coast,PMI,Menthol,Full Flavor,STD,KS,1,0
Aomori,Japan,PMI,Regular,Full Flavor,STD,KS,1,9
Chania,Greece,PMI,Regular,Full Flavor,STD,KS,1,8
Jomo Kenyatta,Kenya,PMI,Regular,Full Flavor,SLI,KS,1,1
Adana Airport,Turkey,PMI,Regular,Lights,STD,KS,1,1
Hebei,China,PMI,Menthol Caps,Full Flavor,STD,KS,1,4
Kuala Lumpur,Malaysia,PMI,Menthol,Full Flavor,SLI,KS,1,1
