Nationality,Nationalities,Country,Countries
Romania,Romania,Romania,Romania
Sierra Leone,Sierra Leone,Sierra Leone,Sierra Leone
Sweden,Sweden,Sweden,Sweden
Frenc.Polynesia,Frenc.Polynesia,Frenc.Polynesia,Frenc.Polynesia
Bolivia,Bolivia,Bolivia,Bolivia
Yemen,Yemen,Yemen,Yemen
Estonia,Estonia,Estonia,Estonia
Uganda,Uganda,Uganda,Uganda
Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein
Nauru,Nauru,Nauru,Nauru
Bahamas,Bahamas,Bahamas,Bahamas
Slovenia,Slovenia,Slovenia,Slovenia
Micronesia,Micronesia,Micronesia,Micronesia
Tuvalu,Tuvalu,Tuvalu,Tuvalu
Venezuela,Venezuela,Venezuela,Venezuela
Iran,Iran,Iran,Iran
Suriname,Suriname,Suriname,Suriname
Serbia,Serbia,Serbia,Serbia
Bermuda,Bermuda,Bermuda,Bermuda
Bangladesh,Bangladesh,Bangladesh,Bangladesh
"St.Pier,Miquel.","St.Pier,Miquel.","St.Pier,Miquel.","St.Pier,Miquel."
Grenada,Grenada,Grenada,Grenada
Guinea-Bissau,Guinea-Bissau,Guinea-Bissau,Guinea-Bissau
Madagascar,Madagascar,Madagascar,Madagascar
Norway,Norway,Norway,Norway
Thailand,Thailand,Thailand,Thailand
Norfolk Island,Norfolk Island,Norfolk Island,Norfolk Island
Tonga,Tonga,Tonga,Tonga
Cyprus,Cyprus,Cyprus,Cyprus
Afghanistan,Afghanistan,Afghanistan,Afghanistan
Christmas Is.,Christmas Is.,Christmas Is.,Christmas Is.
Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico
Sint Maarten,Sint Maarten,Sint Maarten,Sint Maarten
Seychelles,Seychelles,Seychelles,Seychelles
Tajikstan,Tajikstan,Tajikstan,Tajikstan
Haiti,Haiti,Haiti,Haiti
Pitcairn,Pitcairn,Pitcairn,Pitcairn
San Marino,San Marino,San Marino,San Marino
Palau,Palau,Palau,Palau
Qatar,Qatar,Qatar,Qatar
Vanuatu,Vanuatu,Vanuatu,Vanuatu
Burundi,Burundi,Burundi,Burundi
Malta,Malta,Malta,Malta
Taiwan,Taiwan,Taiwan,Taiwan
Montserrat,Montserrat,Montserrat,Montserrat
Anguilla,Anguilla,Anguilla,Anguilla
Brit.Virgin Is.,Brit.Virgin Is.,Brit.Virgin Is.,Brit.Virgin Is.
"Trinidad,Tobago","Trinidad,Tobago","Trinidad,Tobago","Trinidad,Tobago"
Timor-Leste,Timor-Leste,Timor-Leste,Timor-Leste
Morocco,Morocco,Morocco,Morocco
Japan,Japan,Japan,Japan
Egypt,Egypt,Egypt,Egypt
Finland,Finland,Finland,Finland
Paraguay,Paraguay,Paraguay,Paraguay
Tokelau,Tokelau,Tokelau,Tokelau
Argentina,Argentina,Argentina,Argentina
Zambia,Zambia,Zambia,Zambia
Guatemala,Guatemala,Guatemala,Guatemala
Benin,Benin,Benin,Benin
Central Afr.Rep,Central Afr.Rep,Central Afr.Rep,Central Afr.Rep
Cambodia,Cambodia,Cambodia,Cambodia
Cape Verde,Cape Verde,Cape Verde,Cape Verde
Bhutan,Bhutan,Bhutan,Bhutan
Iraq,Iraq,Iraq,Iraq
Ivory Coast,Ivory Coast,Ivory Coast,Ivory Coast
Croatia,Croatia,Croatia,Croatia
Vatican City,Vatican City,Vatican City,Vatican City
Spain,Spain,Spain,Spain
Myanmar,Myanmar,Myanmar,Myanmar
Russian Fed.,Russian Fed.,Russian Fed.,Russian Fed.
Iceland,Iceland,Iceland,Iceland
Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan
Gabon,Gabon,Gabon,Gabon
Moldova,Moldova,Moldova,Moldova
Montenegro,Montenegro,Montenegro,Montenegro
Bouvet Island,Bouvet Island,Bouvet Island,Bouvet Island
Czech Republic,Czech Republic,Czech Republic,Czech Republic
N. Mariana Is.,N. Mariana Is.,N. Mariana Is.,N. Mariana Is.
Turkey,Turkey,Turkey,Turkey
Palestine,Palestine,Palestine,Palestine
Guyana,Guyana,Guyana,Guyana
Uruguay,Uruguay,Uruguay,Uruguay
United Kingdom,United Kingdom,United Kingdom,United Kingdom
Ecuador,Ecuador,Ecuador,Ecuador
Belgium,Belgium,Belgium,Belgium
Singapore,Singapore,Singapore,Singapore
Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan
Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan
Somalia,Somalia,Somalia,Somalia
Mexico,Mexico,Mexico,Mexico
"Bonaire, Saba","Bonaire, Saba","Bonaire, Saba","Bonaire, Saba"
Laos,Laos,Laos,Laos
Reunion,Reunion,Reunion,Reunion
South Africa,South Africa,South Africa,South Africa
Ethiopia,Ethiopia,Ethiopia,Ethiopia
Luxembourg,Luxembourg,Luxembourg,Luxembourg
New Zealand,New Zealand,New Zealand,New Zealand
Bosnia-Herz.,Bosnia-Herz.,Bosnia-Herz.,Bosnia-Herz.
Israel,Israel,Israel,Israel
Martinique,Martinique,Martinique,Martinique
Ukraine,Ukraine,Ukraine,Ukraine
China,China,China,China
Amer.Virgin Is.,Amer.Virgin Is.,Amer.Virgin Is.,Amer.Virgin Is.
Other,Other,Other,Other
Greece,Greece,Greece,Greece
American Samoa,American Samoa,American Samoa,American Samoa
North Macedonia,North Macedonia,North Macedonia,North Macedonia
USA,USA,USA,USA
Indonesia,Indonesia,Indonesia,Indonesia
Tanzania,Tanzania,Tanzania,Tanzania
Macau,Macau,Macau,Macau
Liberia,Liberia,Liberia,Liberia
Nicaragua,Nicaragua,Nicaragua,Nicaragua
Philippines,Philippines,Philippines,Philippines
Kenya,Kenya,Kenya,Kenya
Hungary,Hungary,Hungary,Hungary
Lithuania,Lithuania,Lithuania,Lithuania
St. Vincent,St. Vincent,St. Vincent,St. Vincent
Denmark,Denmark,Denmark,Denmark
Dominica,Dominica,Dominica,Dominica
Peru,Peru,Peru,Peru
Costa Rica,Costa Rica,Costa Rica,Costa Rica
"S.Tome,Principe","S.Tome,Principe","S.Tome,Principe","S.Tome,Principe"
Monaco,Monaco,Monaco,Monaco
France,France,France,France
Tunisia,Tunisia,Tunisia,Tunisia
Brunei,Brunei,Brunei,Brunei
Panama,Panama,Panama,Panama
Marshall Is.,Marshall Is.,Marshall Is.,Marshall Is.
Kosovo,Kosovo,Kosovo,Kosovo
Malaysia,Malaysia,Malaysia,Malaysia
Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan
New Caledonia,New Caledonia,New Caledonia,New Caledonia
Rwanda,Rwanda,Rwanda,Rwanda
El Salvador,El Salvador,El Salvador,El Salvador
Germany,Germany,Germany,Germany
Maldives,Maldives,Maldives,Maldives
Switzerland,Switzerland,Switzerland,Switzerland
Fiji,Fiji,Fiji,Fiji
Nepal,Nepal,Nepal,Nepal
Togo,Togo,Togo,Togo
Australia,Australia,Australia,Australia
Poland,Poland,Poland,Poland
Mayotte,Mayotte,Mayotte,Mayotte
Chile,Chile,Chile,Chile
Pakistan,Pakistan,Pakistan,Pakistan
South Korea,South Korea,South Korea,South Korea
Austria,Austria,Austria,Austria
Belarus,Belarus,Belarus,Belarus
Gibraltar,Gibraltar,Gibraltar,Gibraltar
Canada,Canada,Canada,Canada
Cocos (Keeling),Cocos (Keeling),Cocos (Keeling),Cocos (Keeling)
St. Helena,St. Helena,St. Helena,St. Helena
Svalbard,Svalbard,Svalbard,Svalbard
Vietnam,Vietnam,Vietnam,Vietnam
Antarctica,Antarctica,Antarctica,Antarctica
Bulgaria,Bulgaria,Bulgaria,Bulgaria
Dem. Rep. Congo,Dem. Rep. Congo,Dem. Rep. Congo,Dem. Rep. Congo
Brazil,Brazil,Brazil,Brazil
Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe
Mauritania,Mauritania,Mauritania,Mauritania
Netherlands,Netherlands,Netherlands,Netherlands
Syria,Syria,Syria,Syria
Turkmenistan,Turkmenistan,Turkmenistan,Turkmenistan
Botswana,Botswana,Botswana,Botswana
Belize,Belize,Belize,Belize
Georgia,Georgia,Georgia,Georgia
Saint Martin,Saint Martin,Saint Martin,Saint Martin
West Samoa,West Samoa,West Samoa,West Samoa
Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands
Guam,Guam,Guam,Guam
Chad,Chad,Chad,Chad
Falkland Is.,Falkland Is.,Falkland Is.,Falkland Is.
Hong Kong,Hong Kong,Hong Kong,Hong Kong
Barbados,Barbados,Barbados,Barbados
Congo,Congo,Congo,Congo
South Sudan,South Sudan,South Sudan,South Sudan
Armenia,Armenia,Armenia,Armenia
Cuba,Cuba,Cuba,Cuba
Colombia,Colombia,Colombia,Colombia
Djibouti,Djibouti,Djibouti,Djibouti
St. Barthélemy,St. Barthélemy,St. Barthélemy,St. Barthélemy
Nigeria,Nigeria,Nigeria,Nigeria
Niger,Niger,Niger,Niger
Zimbabwe,Zimbabwe,Zimbabwe,Zimbabwe
Malawi,Malawi,Malawi,Malawi
West Sahara,West Sahara,West Sahara,West Sahara
Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka
Greenland,Greenland,Greenland,Greenland
Niue,Niue,Niue,Niue
India,India,India,India
Namibia,Namibia,Namibia,Namibia
Honduras,Honduras,Honduras,Honduras
Sudan,Sudan,Sudan,Sudan
Eritrea,Eritrea,Eritrea,Eritrea
Gambia,Gambia,Gambia,Gambia
Kiribati,Kiribati,Kiribati,Kiribati
Kuwait,Kuwait,Kuwait,Kuwait
"Wallis,Futuna","Wallis,Futuna","Wallis,Futuna","Wallis,Futuna"
Solomon Islands,Solomon Islands,Solomon Islands,Solomon Islands
Faroe Islands,Faroe Islands,Faroe Islands,Faroe Islands
UAE,UAE,UAE,UAE
Lesotho,Lesotho,Lesotho,Lesotho
Jamaica,Jamaica,Jamaica,Jamaica
US Min Outl.Is.,US Min Outl.Is.,US Min Outl.Is.,US Min Outl.Is.
Slovakia,Slovakia,Slovakia,Slovakia
Aruba,Aruba,Aruba,Aruba
Cameroon,Cameroon,Cameroon,Cameroon
Guinea,Guinea,Guinea,Guinea
Turks & Caicos,Turks & Caicos,Turks & Caicos,Turks & Caicos
Swaziland,Swaziland,Swaziland,Swaziland
Libya,Libya,Libya,Libya
Curaçao,Curaçao,Curaçao,Curaçao
Italy,Italy,Italy,Italy
Mali,Mali,Mali,Mali
Andorra,Andorra,Andorra,Andorra
Jordan,Jordan,Jordan,Jordan
Antigua/Barbuda,Antigua/Barbuda,Antigua/Barbuda,Antigua/Barbuda
Bahrain,Bahrain,Bahrain,Bahrain
Albania,Albania,Albania,Albania
Papua Nw Guinea,Papua Nw Guinea,Papua Nw Guinea,Papua Nw Guinea
North Korea,North Korea,North Korea,North Korea
Dominican Rep.,Dominican Rep.,Dominican Rep.,Dominican Rep.
Ireland,Ireland,Ireland,Ireland
Saudi Arabia,Saudi Arabia,Saudi Arabia,Saudi Arabia
Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso
Cook Islands,Cook Islands,Cook Islands,Cook Islands
French Guiana,French Guiana,French Guiana,French Guiana
Angola,Angola,Angola,Angola
Lebanon,Lebanon,Lebanon,Lebanon
Mozambique,Mozambique,Mozambique,Mozambique
Mauritius,Mauritius,Mauritius,Mauritius
Portugal,Portugal,Portugal,Portugal
Latvia,Latvia,Latvia,Latvia
St Kitts&Nevis,St Kitts&Nevis,St Kitts&Nevis,St Kitts&Nevis
Equatorial Gui.,Equatorial Gui.,Equatorial Gui.,Equatorial Gui.
Comoros,Comoros,Comoros,Comoros
Algeria,Algeria,Algeria,Algeria
Mongolia,Mongolia,Mongolia,Mongolia
Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia
Oman,Oman,Oman,Oman
Ghana,Ghana,Ghana,Ghana
Senegal,Senegal,Senegal,Senegal
